"word","n","Brand"
"nickrickles",2,"DunkinDonuts"
"north",2,"DunkinDonuts"
"notch",2,"DunkinDonuts"
"nv",2,"DunkinDonuts"
"obsessed",2,"DunkinDonuts"
"officerryker",2,"DunkinDonuts"
"officialxturtle",2,"DunkinDonuts"
"online",2,"DunkinDonuts"
"orlando",2,"DunkinDonuts"
"otgexp",2,"DunkinDonuts"
"overnight",2,"DunkinDonuts"
"ovoneymar",2,"DunkinDonuts"
"oxtmiryvpx",2,"DunkinDonuts"
"pakistan",2,"DunkinDonuts"
"pantherpride",2,"DunkinDonuts"
"panynj",2,"DunkinDonuts"
"paper",2,"DunkinDonuts"
"park",2,"DunkinDonuts"
"passes",2,"DunkinDonuts"
"past",2,"DunkinDonuts"
"paying",2,"DunkinDonuts"
"payitforward",2,"DunkinDonuts"
"peacexwisdom",2,"DunkinDonuts"
"penguins",2,"DunkinDonuts"
"pharoahyt",2,"DunkinDonuts"
"photo",2,"DunkinDonuts"
"picks",2,"DunkinDonuts"
"pink",2,"DunkinDonuts"
"playing",2,"DunkinDonuts"
"police",2,"DunkinDonuts"
"pork",2,"DunkinDonuts"
"powering",2,"DunkinDonuts"
"pregnant",2,"DunkinDonuts"
"prepare",2,"DunkinDonuts"
"products",2,"DunkinDonuts"
"professorkey",2,"DunkinDonuts"
"proud",2,"DunkinDonuts"
"pulled",2,"DunkinDonuts"
"pumpkin",2,"DunkinDonuts"
"putting",2,"DunkinDonuts"
"radiothon",2,"DunkinDonuts"
"refund",2,"DunkinDonuts"
"regular",2,"DunkinDonuts"
"response",2,"DunkinDonuts"
"retweet",2,"DunkinDonuts"
"rewards",2,"DunkinDonuts"
"ri",2,"DunkinDonuts"
"ring",2,"DunkinDonuts"
"rip",2,"DunkinDonuts"
"riveters",2,"DunkinDonuts"
"rns",2,"DunkinDonuts"
"roast",2,"DunkinDonuts"
"robgronkowski",2,"DunkinDonuts"
"rock",2,"DunkinDonuts"
"row",2,"DunkinDonuts"
"ruin",2,"DunkinDonuts"
